50000	500	49500	 sysNum: 	25000	 MissingNum: 	0	 30033.616666649174	 198666	 2	 Protocol_Missing: 25000	 0.0	 
50000	1000	49000	 sysNum: 	25000	 MissingNum: 	0	 30010.61666664942	 198162	 2	 Protocol_Missing: 25000	 0.0	 
50000	1500	48500	 sysNum: 	25000	 MissingNum: 	0	 30018.35833331598	 198124	 2	 Protocol_Missing: 25000	 0.0	 
50000	2000	48000	 sysNum: 	25000	 MissingNum: 	0	 29982.49999998287	 197528	 2	 Protocol_Missing: 25000	 0.0	 
50000	2500	47500	 sysNum: 	25000	 MissingNum: 	0	 29997.533333316165	 198058	 2	 Protocol_Missing: 25000	 0.0	 
50000	3000	47000	 sysNum: 	25000	 MissingNum: 	0	 30037.316666649367	 198654	 2	 Protocol_Missing: 25000	 0.0	 
50000	3499	46501	 sysNum: 	24999	 MissingNum: 	0	 30021.88333331622	 198532	 2	 Protocol_Missing: 25001	 0.0	 
50000	4000	46000	 sysNum: 	25000	 MissingNum: 	0	 29933.84999998336	 196112	 2	 Protocol_Missing: 25000	 0.0	 
50000	4500	45500	 sysNum: 	25000	 MissingNum: 	0	 30018.40833331597	 198628	 2	 Protocol_Missing: 25000	 0.0	 
50000	500	49500	 sysNum: 	25000	 MissingNum: 	0	 29997.716666649914	 197604	 2	 Protocol_Missing: 25000	 0.0	 
50000	1000	49000	 sysNum: 	25000	 MissingNum: 	0	 30057.68333331586	 199516	 2	 Protocol_Missing: 25000	 0.0	 
50000	1500	48500	 sysNum: 	25000	 MissingNum: 	0	 30026.416666649224	 198312	 2	 Protocol_Missing: 25000	 0.0	 
50000	2000	48000	 sysNum: 	25000	 MissingNum: 	0	 29993.15833331629	 197746	 2	 Protocol_Missing: 25000	 0.0	 
50000	2500	47500	 sysNum: 	25000	 MissingNum: 	0	 30010.666666649417	 197874	 2	 Protocol_Missing: 25000	 0.0	 
50000	3000	47000	 sysNum: 	25000	 MissingNum: 	0	 30031.458333316208	 198328	 2	 Protocol_Missing: 25000	 0.0	 
50000	3499	46501	 sysNum: 	24999	 MissingNum: 	0	 30027.783333316012	 198724	 2	 Protocol_Missing: 25001	 0.0	 
50000	4000	46000	 sysNum: 	25000	 MissingNum: 	0	 30016.29999998244	 198560	 2	 Protocol_Missing: 25000	 0.0	 
50000	4500	45500	 sysNum: 	25000	 MissingNum: 	0	 29985.94166664959	 197562	 2	 Protocol_Missing: 25000	 0.0	 
50000	500	49500	 sysNum: 	25000	 MissingNum: 	0	 29996.124999982847	 197678	 2	 Protocol_Missing: 25000	 0.0	 
50000	1000	49000	 sysNum: 	25000	 MissingNum: 	0	 30020.01666664948	 198012	 2	 Protocol_Missing: 25000	 0.0	 
50000	1500	48500	 sysNum: 	25000	 MissingNum: 	0	 30004.008333316055	 197728	 2	 Protocol_Missing: 25000	 0.0	 
50000	2000	48000	 sysNum: 	25000	 MissingNum: 	0	 29998.908333316005	 198280	 2	 Protocol_Missing: 25000	 0.0	 
50000	2500	47500	 sysNum: 	25000	 MissingNum: 	0	 30031.17499998252	 198974	 2	 Protocol_Missing: 25000	 0.0	 
50000	3000	47000	 sysNum: 	25000	 MissingNum: 	0	 30000.358333315973	 197890	 2	 Protocol_Missing: 25000	 0.0	 
50000	3499	46501	 sysNum: 	24999	 MissingNum: 	0	 30047.90833331562	 199066	 2	 Protocol_Missing: 25001	 0.0	 
50000	4000	46000	 sysNum: 	25000	 MissingNum: 	0	 30061.458333315397	 199468	 2	 Protocol_Missing: 25000	 0.0	 
50000	4500	45500	 sysNum: 	25000	 MissingNum: 	0	 29995.541666649595	 198072	 2	 Protocol_Missing: 25000	 0.0	 
50000	500	49500	 sysNum: 	25000	 MissingNum: 	0	 30005.391666649484	 197988	 2	 Protocol_Missing: 25000	 0.0	 
50000	1000	49000	 sysNum: 	25000	 MissingNum: 	0	 29997.074999982542	 197816	 2	 Protocol_Missing: 25000	 0.0	 
50000	1500	48500	 sysNum: 	25000	 MissingNum: 	0	 30004.13333331615	 198082	 2	 Protocol_Missing: 25000	 0.0	 
50000	2000	48000	 sysNum: 	25000	 MissingNum: 	0	 30001.7833333161	 198106	 2	 Protocol_Missing: 25000	 0.0	 
50000	2500	47500	 sysNum: 	25000	 MissingNum: 	0	 30024.89999998256	 198710	 2	 Protocol_Missing: 25000	 0.0	 
50000	3000	47000	 sysNum: 	25000	 MissingNum: 	0	 30047.766666649022	 198954	 2	 Protocol_Missing: 25000	 0.0	 
50000	3499	46501	 sysNum: 	24999	 MissingNum: 	0	 29993.81666664927	 197814	 2	 Protocol_Missing: 25001	 0.0	 
50000	4000	46000	 sysNum: 	25000	 MissingNum: 	0	 29991.94166664962	 197394	 2	 Protocol_Missing: 25000	 0.0	 
50000	4500	45500	 sysNum: 	25000	 MissingNum: 	0	 30026.808333316058	 198358	 2	 Protocol_Missing: 25000	 0.0	 
50000	500	49500	 sysNum: 	25000	 MissingNum: 	0	 30001.108333316268	 197656	 2	 Protocol_Missing: 25000	 0.0	 
50000	1000	49000	 sysNum: 	25000	 MissingNum: 	0	 30009.516666649393	 197898	 2	 Protocol_Missing: 25000	 0.0	 
50000	1500	48500	 sysNum: 	25000	 MissingNum: 	0	 30020.458333315873	 198514	 2	 Protocol_Missing: 25000	 0.0	 
50000	2000	48000	 sysNum: 	25000	 MissingNum: 	0	 30019.966666649347	 198018	 2	 Protocol_Missing: 25000	 0.0	 
50000	2500	47500	 sysNum: 	25000	 MissingNum: 	0	 29997.599999982758	 197954	 2	 Protocol_Missing: 25000	 0.0	 
50000	3000	47000	 sysNum: 	25000	 MissingNum: 	0	 30031.25833331584	 198442	 2	 Protocol_Missing: 25000	 0.0	 
50000	3499	46501	 sysNum: 	24999	 MissingNum: 	0	 29991.899999982856	 197678	 2	 Protocol_Missing: 25001	 0.0	 
50000	4000	46000	 sysNum: 	25000	 MissingNum: 	0	 30042.224999982594	 199172	 2	 Protocol_Missing: 25000	 0.0	 
50000	4500	45500	 sysNum: 	25000	 MissingNum: 	0	 30035.633333315353	 198658	 2	 Protocol_Missing: 25000	 0.0	 
50000	500	49500	 sysNum: 	25000	 MissingNum: 	0	 29987.874999982814	 197630	 2	 Protocol_Missing: 25000	 0.0	 
50000	1000	49000	 sysNum: 	25000	 MissingNum: 	0	 30000.0416666495	 198000	 2	 Protocol_Missing: 25000	 0.0	 
50000	1500	48500	 sysNum: 	25000	 MissingNum: 	0	 30036.508333315847	 198550	 2	 Protocol_Missing: 25000	 0.0	 
50000	2000	48000	 sysNum: 	25000	 MissingNum: 	0	 30024.77499998233	 198662	 2	 Protocol_Missing: 25000	 0.0	 
50000	2500	47500	 sysNum: 	25000	 MissingNum: 	0	 29997.666666649577	 198036	 2	 Protocol_Missing: 25000	 0.0	 
50000	3000	47000	 sysNum: 	25000	 MissingNum: 	0	 30018.65833331595	 198412	 2	 Protocol_Missing: 25000	 0.0	 
50000	3499	46501	 sysNum: 	24999	 MissingNum: 	0	 29984.16666664929	 197538	 2	 Protocol_Missing: 25001	 0.0	 
50000	4000	46000	 sysNum: 	25000	 MissingNum: 	0	 30002.608333315802	 198136	 2	 Protocol_Missing: 25000	 0.0	 
50000	4500	45500	 sysNum: 	25000	 MissingNum: 	0	 29983.308333316134	 197554	 2	 Protocol_Missing: 25000	 0.0	 
50000	500	49500	 sysNum: 	25000	 MissingNum: 	0	 30038.59999998261	 198608	 2	 Protocol_Missing: 25000	 0.0	 
50000	1000	49000	 sysNum: 	25000	 MissingNum: 	0	 29980.858333316293	 196990	 2	 Protocol_Missing: 25000	 0.0	 
50000	1500	48500	 sysNum: 	25000	 MissingNum: 	0	 30031.016666649557	 198852	 2	 Protocol_Missing: 25000	 0.0	 
50000	2000	48000	 sysNum: 	25000	 MissingNum: 	0	 30057.799999982286	 199274	 2	 Protocol_Missing: 25000	 0.0	 
