50000	5000	45000	 sysNum: 	25000	 MissingNum: 	0	 939.1958333333333	 30665	 2	 Protocol_Missing: 0	 0.0	 
50000	10000	40000	 sysNum: 	25000	 MissingNum: 	0	 1487.004166666666	 49447	 2	 Protocol_Missing: 0	 0.0	 
50000	15000	35000	 sysNum: 	25000	 MissingNum: 	0	 1913.391666666666	 63874	 2	 Protocol_Missing: 0	 0.0	 
50000	20000	30000	 sysNum: 	25000	 MissingNum: 	0	 2245.6583333333324	 75074	 2	 Protocol_Missing: 0	 0.0	 
50000	25000	25000	 sysNum: 	25000	 MissingNum: 	0	 2485.204166666665	 83479	 2	 Protocol_Missing: 0	 0.0	 
50000	30000	20000	 sysNum: 	25000	 MissingNum: 	0	 2742.162499999999	 91905	 2	 Protocol_Missing: 0	 0.0	 
50000	35000	15000	 sysNum: 	25000	 MissingNum: 	0	 2903.745833333332	 97445	 2	 Protocol_Missing: 0	 0.0	 
50000	40000	10000	 sysNum: 	25000	 MissingNum: 	0	 3059.991666666667	 102802	 2	 Protocol_Missing: 0	 0.0	 
50000	45000	5000	 sysNum: 	25000	 MissingNum: 	0	 3160.791666666666	 106258	 2	 Protocol_Missing: 0	 0.0	 
50000	5000	45000	 sysNum: 	25000	 MissingNum: 	0	 925.8083333333335	 30206	 2	 Protocol_Missing: 0	 0.0	 
50000	10000	40000	 sysNum: 	25000	 MissingNum: 	0	 1472.5374999999992	 48951	 2	 Protocol_Missing: 0	 0.0	 
50000	15000	35000	 sysNum: 	25000	 MissingNum: 	0	 1905.458333333333	 63602	 2	 Protocol_Missing: 0	 0.0	 
50000	20000	30000	 sysNum: 	25000	 MissingNum: 	0	 2232.154166666666	 74803	 2	 Protocol_Missing: 0	 0.0	 
50000	25000	25000	 sysNum: 	25000	 MissingNum: 	0	 2513.379166666666	 84253	 2	 Protocol_Missing: 0	 0.0	 
50000	30000	20000	 sysNum: 	25000	 MissingNum: 	0	 2741.1124999999997	 91869	 2	 Protocol_Missing: 0	 0.0	 
50000	35000	15000	 sysNum: 	25000	 MissingNum: 	0	 2920.954166666667	 98035	 2	 Protocol_Missing: 0	 0.0	 
50000	40000	10000	 sysNum: 	25000	 MissingNum: 	0	 3066.0583333333325	 102818	 2	 Protocol_Missing: 0	 0.0	 
50000	45000	5000	 sysNum: 	25000	 MissingNum: 	0	 3159.0999999999985	 106008	 2	 Protocol_Missing: 0	 0.0	 
50000	5000	45000	 sysNum: 	25000	 MissingNum: 	0	 927.7625	 30465	 2	 Protocol_Missing: 0	 0.0	 
50000	10000	40000	 sysNum: 	25000	 MissingNum: 	0	 1480.5583333333325	 49226	 2	 Protocol_Missing: 0	 0.0	 
50000	15000	35000	 sysNum: 	25000	 MissingNum: 	0	 1901.0249999999996	 63450	 2	 Protocol_Missing: 0	 0.0	 
50000	20000	30000	 sysNum: 	25000	 MissingNum: 	0	 2252.308333333332	 75302	 2	 Protocol_Missing: 0	 0.0	 
50000	25000	25000	 sysNum: 	25000	 MissingNum: 	0	 2523.879166666665	 84613	 2	 Protocol_Missing: 0	 0.0	 
50000	30000	20000	 sysNum: 	25000	 MissingNum: 	0	 2745.8374999999987	 92223	 2	 Protocol_Missing: 0	 0.0	 
50000	35000	15000	 sysNum: 	25000	 MissingNum: 	0	 2907.0708333333314	 97559	 2	 Protocol_Missing: 0	 0.0	 
50000	40000	10000	 sysNum: 	25000	 MissingNum: 	0	 3066.8458333333324	 103037	 2	 Protocol_Missing: 0	 0.0	 
50000	45000	5000	 sysNum: 	25000	 MissingNum: 	0	 3177.824999999998	 106842	 2	 Protocol_Missing: 0	 0.0	 
50000	5000	45000	 sysNum: 	25000	 MissingNum: 	0	 921.4916666666668	 30250	 2	 Protocol_Missing: 0	 0.0	 
50000	10000	40000	 sysNum: 	25000	 MissingNum: 	0	 1485.254166666666	 49387	 2	 Protocol_Missing: 0	 0.0	 
50000	15000	35000	 sysNum: 	25000	 MissingNum: 	0	 1903.6499999999994	 63348	 2	 Protocol_Missing: 0	 0.0	 
50000	20000	30000	 sysNum: 	25000	 MissingNum: 	0	 2222.9666666666667	 74488	 2	 Protocol_Missing: 0	 0.0	 
50000	25000	25000	 sysNum: 	25000	 MissingNum: 	0	 2500.7791666666662	 83821	 2	 Protocol_Missing: 0	 0.0	 
50000	30000	20000	 sysNum: 	25000	 MissingNum: 	0	 2730.0291666666653	 91681	 2	 Protocol_Missing: 0	 0.0	 
50000	35000	15000	 sysNum: 	25000	 MissingNum: 	0	 2912.349999999999	 97932	 2	 Protocol_Missing: 0	 0.0	 
50000	40000	10000	 sysNum: 	25000	 MissingNum: 	0	 3033.1291666666657	 102073	 2	 Protocol_Missing: 0	 0.0	 
50000	45000	5000	 sysNum: 	25000	 MissingNum: 	0	 3147.5208333333326	 105803	 2	 Protocol_Missing: 0	 0.0	 
50000	5000	45000	 sysNum: 	25000	 MissingNum: 	0	 926.4208333333333	 30419	 2	 Protocol_Missing: 0	 0.0	 
50000	10000	40000	 sysNum: 	25000	 MissingNum: 	0	 1476.8249999999996	 49098	 2	 Protocol_Missing: 0	 0.0	 
50000	15000	35000	 sysNum: 	25000	 MissingNum: 	0	 1918.5833333333326	 64052	 2	 Protocol_Missing: 0	 0.0	 
50000	20000	30000	 sysNum: 	25000	 MissingNum: 	0	 2257.062499999999	 75465	 2	 Protocol_Missing: 0	 0.0	 
50000	25000	25000	 sysNum: 	25000	 MissingNum: 	0	 2516.5583333333325	 84170	 2	 Protocol_Missing: 0	 0.0	 
