50000	5000	45000	 sysNum: 	25000	 MissingNum: 	0	 6598.025000002335	 133346	 2	 Protocol_Missing: 0	 3482.9666666666662	 
50000	10000	40000	 sysNum: 	25000	 MissingNum: 	0	 13306.737499997698	 277207	 2	 Protocol_Missing: 0	 7134.400000000005	 
50000	15000	35000	 sysNum: 	25000	 MissingNum: 	0	 18919.62916665377	 385801	 2	 Protocol_Missing: 0	 9748.200000000004	 
50000	20000	30000	 sysNum: 	25000	 MissingNum: 	0	 26924.53749996004	 574295	 2	 Protocol_Missing: 0	 14723.333333333345	 
50000	25000	25000	 sysNum: 	25000	 MissingNum: 	0	 31410.691666612063	 643298	 2	 Protocol_Missing: 0	 16164.866666666667	 
50000	30000	20000	 sysNum: 	25000	 MissingNum: 	0	 41145.99999998518	 891312	 2	 Protocol_Missing: 0	 22895.599999999995	 
50000	35000	15000	 sysNum: 	25000	 MissingNum: 	0	 45910.31666667099	 970236	 2	 Protocol_Missing: 0	 24634.399999999987	 
50000	40000	10000	 sysNum: 	25000	 MissingNum: 	0	 52433.58750003419	 1108123	 2	 Protocol_Missing: 0	 28134.399999999998	 
50000	45000	5000	 sysNum: 	25000	 MissingNum: 	0	 55018.01666670599	 1112500	 2	 Protocol_Missing: 0	 27680.099999999988	 
50000	5000	45000	 sysNum: 	25000	 MissingNum: 	0	 6585.833333335666	 133504	 2	 Protocol_Missing: 0	 3482.9666666666662	 
50000	10000	40000	 sysNum: 	25000	 MissingNum: 	0	 14471.449999996375	 316948	 2	 Protocol_Missing: 0	 8323.466666666674	 
50000	15000	35000	 sysNum: 	25000	 MissingNum: 	0	 19830.620833317345	 415883	 2	 Protocol_Missing: 0	 10634.400000000005	 
50000	20000	30000	 sysNum: 	25000	 MissingNum: 	0	 25160.770833299495	 514015	 2	 Protocol_Missing: 0	 12956.533333333342	 
50000	25000	25000	 sysNum: 	25000	 MissingNum: 	0	 32882.208333279064	 693174	 2	 Protocol_Missing: 0	 17634.4	 
50000	30000	20000	 sysNum: 	25000	 MissingNum: 	0	 39378.383333308746	 831476	 2	 Protocol_Missing: 0	 21134.399999999998	 
50000	35000	15000	 sysNum: 	25000	 MissingNum: 	0	 43847.62083332526	 899707	 2	 Protocol_Missing: 0	 22581.533333333326	 
50000	40000	10000	 sysNum: 	25000	 MissingNum: 	0	 53592.14583337565	 1148037	 2	 Protocol_Missing: 0	 29306.666666666664	 
50000	45000	5000	 sysNum: 	25000	 MissingNum: 	0	 52355.070833354395	 1021775	 2	 Protocol_Missing: 0	 25043.89999999999	 
50000	5000	45000	 sysNum: 	25000	 MissingNum: 	0	 6448.400000002203	 128600	 2	 Protocol_Missing: 0	 3331.533333333333	 
50000	10000	40000	 sysNum: 	25000	 MissingNum: 	0	 13264.008333331025	 276894	 2	 Protocol_Missing: 0	 7134.400000000005	 
50000	15000	35000	 sysNum: 	25000	 MissingNum: 	0	 21120.13749998005	 460287	 2	 Protocol_Missing: 0	 11963.700000000006	 
50000	20000	30000	 sysNum: 	25000	 MissingNum: 	0	 25755.74166663079	 534414	 2	 Protocol_Missing: 0	 13545.466666666676	 
50000	25000	25000	 sysNum: 	25000	 MissingNum: 	0	 31396.16666661206	 642800	 2	 Protocol_Missing: 0	 16164.866666666667	 
50000	30000	20000	 sysNum: 	25000	 MissingNum: 	0	 42020.47499999128	 921486	 2	 Protocol_Missing: 0	 23776.199999999993	 
50000	35000	15000	 sysNum: 	25000	 MissingNum: 	0	 44872.71249999906	 935237	 2	 Protocol_Missing: 0	 23607.966666666656	 
