50000	5000	45000	 sysNum: 	49500	 MissingNum: 	0	 1045.1291666666666	 34297	 2	 Protocol_Missing: 0	 0.0	 
50000	5000	45000	 sysNum: 	49000	 MissingNum: 	0	 1050.6124999999997	 34293	 2	 Protocol_Missing: 0	 0.0	 
50000	5000	45000	 sysNum: 	48500	 MissingNum: 	0	 1126.474999999999	 36702	 2	 Protocol_Missing: 0	 0.0	 
50000	5000	45000	 sysNum: 	48000	 MissingNum: 	0	 1119.999999999999	 36864	 2	 Protocol_Missing: 0	 0.0	 
50000	5000	45000	 sysNum: 	47500	 MissingNum: 	0	 1114.720833333333	 36683	 2	 Protocol_Missing: 0	 0.0	 
50000	5000	45000	 sysNum: 	47000	 MissingNum: 	0	 1067.9958333333332	 34889	 2	 Protocol_Missing: 0	 0.0	 
50000	5000	45000	 sysNum: 	46500	 MissingNum: 	0	 1142.1083333333324	 37238	 2	 Protocol_Missing: 0	 0.0	 
50000	5000	45000	 sysNum: 	46000	 MissingNum: 	0	 1135.4874999999993	 37203	 2	 Protocol_Missing: 0	 0.0	 
50000	5000	45000	 sysNum: 	45500	 MissingNum: 	0	 1131.170833333333	 36863	 2	 Protocol_Missing: 0	 0.0	 
50000	5000	45000	 sysNum: 	49500	 MissingNum: 	0	 1050.175	 34470	 2	 Protocol_Missing: 0	 0.0	 
50000	5000	45000	 sysNum: 	49000	 MissingNum: 	0	 1059.7124999999999	 34605	 2	 Protocol_Missing: 0	 0.0	 
50000	5000	45000	 sysNum: 	48500	 MissingNum: 	0	 1049.6499999999994	 34260	 2	 Protocol_Missing: 0	 0.0	 
50000	5000	45000	 sysNum: 	48000	 MissingNum: 	0	 1131.9874999999997	 37083	 2	 Protocol_Missing: 0	 0.0	 
50000	5000	45000	 sysNum: 	47500	 MissingNum: 	0	 1119.7374999999995	 36855	 2	 Protocol_Missing: 0	 0.0	 
50000	5000	45000	 sysNum: 	47000	 MissingNum: 	0	 1140.7083333333326	 37382	 2	 Protocol_Missing: 0	 0.0	 
50000	5000	45000	 sysNum: 	46500	 MissingNum: 	0	 1119.9708333333328	 36863	 2	 Protocol_Missing: 0	 0.0	 
50000	5000	45000	 sysNum: 	46000	 MissingNum: 	0	 1132.9499999999991	 36924	 2	 Protocol_Missing: 0	 0.0	 
50000	5000	45000	 sysNum: 	45500	 MissingNum: 	0	 1133.5333333333328	 36944	 2	 Protocol_Missing: 0	 0.0	 
50000	5000	45000	 sysNum: 	49500	 MissingNum: 	0	 1050.758333333333	 34298	 2	 Protocol_Missing: 0	 0.0	 
