50000	5000	45000	 sysNum: 	49500	 MissingNum: 	0	 54684.79166666754	 286611	 2	 Protocol_Missing: 500	 0.0	 
50000	5000	45000	 sysNum: 	49000	 MissingNum: 	0	 54659.20000000139	 286479	 2	 Protocol_Missing: 1000	 0.0	 
50000	5000	45000	 sysNum: 	48500	 MissingNum: 	0	 54943.00833333502	 288021	 2	 Protocol_Missing: 1500	 0.0	 
50000	5000	45000	 sysNum: 	48000	 MissingNum: 	0	 55005.475000001104	 288396	 2	 Protocol_Missing: 2000	 0.0	 
50000	5000	45000	 sysNum: 	47500	 MissingNum: 	0	 54767.0083333348	 287148	 2	 Protocol_Missing: 2500	 0.0	 
50000	5000	45000	 sysNum: 	47000	 MissingNum: 	0	 54694.84166666828	 286872	 2	 Protocol_Missing: 3000	 0.0	 
50000	5000	45000	 sysNum: 	46500	 MissingNum: 	0	 54869.85000000129	 287856	 2	 Protocol_Missing: 3500	 0.0	 
50000	5000	45000	 sysNum: 	46000	 MissingNum: 	0	 54852.60000000075	 287856	 2	 Protocol_Missing: 4000	 0.0	 
50000	5000	45000	 sysNum: 	45500	 MissingNum: 	0	 54627.63333333443	 286698	 2	 Protocol_Missing: 4500	 0.0	 
50000	5000	45000	 sysNum: 	49500	 MissingNum: 	0	 54796.583333334864	 287247	 2	 Protocol_Missing: 500	 0.0	 
50000	5000	45000	 sysNum: 	49000	 MissingNum: 	0	 54789.458333334784	 287283	 2	 Protocol_Missing: 1000	 0.0	 
50000	5000	45000	 sysNum: 	48500	 MissingNum: 	0	 54946.05000000094	 288018	 2	 Protocol_Missing: 1500	 0.0	 
50000	5000	45000	 sysNum: 	48000	 MissingNum: 	0	 54545.75833333388	 285996	 2	 Protocol_Missing: 2000	 0.0	 
50000	5000	45000	 sysNum: 	47500	 MissingNum: 	0	 54738.691666667924	 287079	 2	 Protocol_Missing: 2500	 0.0	 
50000	5000	45000	 sysNum: 	47000	 MissingNum: 	0	 54932.425000000825	 288144	 2	 Protocol_Missing: 3000	 0.0	 
50000	5000	45000	 sysNum: 	46500	 MissingNum: 	0	 54935.483333334174	 288165	 2	 Protocol_Missing: 3500	 0.0	 
50000	5000	45000	 sysNum: 	46000	 MissingNum: 	0	 54883.691666667626	 287898	 2	 Protocol_Missing: 4000	 0.0	 
50000	5000	45000	 sysNum: 	45500	 MissingNum: 	0	 54834.82500000096	 287784	 2	 Protocol_Missing: 4500	 0.0	 
50000	5000	45000	 sysNum: 	49500	 MissingNum: 	0	 54752.841666667766	 286980	 2	 Protocol_Missing: 500	 0.0	 
50000	5000	45000	 sysNum: 	49000	 MissingNum: 	0	 54845.85833333553	 287544	 2	 Protocol_Missing: 1000	 0.0	 
50000	5000	45000	 sysNum: 	48500	 MissingNum: 	0	 54963.183333334884	 288183	 2	 Protocol_Missing: 1500	 0.0	 
50000	5000	45000	 sysNum: 	48000	 MissingNum: 	0	 54912.30000000092	 287955	 2	 Protocol_Missing: 2000	 0.0	 
50000	5000	45000	 sysNum: 	47500	 MissingNum: 	0	 55104.9916666677	 288960	 2	 Protocol_Missing: 2500	 0.0	 
50000	5000	45000	 sysNum: 	47000	 MissingNum: 	0	 55064.5833333347	 288867	 2	 Protocol_Missing: 3000	 0.0	 
50000	5000	45000	 sysNum: 	46500	 MissingNum: 	0	 54789.04166666767	 287412	 2	 Protocol_Missing: 3500	 0.0	 
