50000	5000	45000	 sysNum: 	45000	 MissingNum: 	0	 6751.937500002465	 138431	 2	 Protocol_Missing: 0	 3634.3999999999996	 
50000	5000	45000	 sysNum: 	40000	 MissingNum: 	0	 7054.016666669394	 148596	 2	 Protocol_Missing: 0	 3937.2666666666664	 
50000	5000	45000	 sysNum: 	34999	 MissingNum: 	0	 7065.712500002729	 148613	 2	 Protocol_Missing: 0	 3937.2666666666664	 
50000	5000	45000	 sysNum: 	30000	 MissingNum: 	0	 6914.454166669262	 143619	 2	 Protocol_Missing: 0	 3785.833333333333	 
50000	5000	45000	 sysNum: 	25000	 MissingNum: 	0	 6459.541666668871	 128598	 2	 Protocol_Missing: 0	 3331.533333333333	 
50000	5000	45000	 sysNum: 	20000	 MissingNum: 	0	 6603.5958333356675	 133537	 2	 Protocol_Missing: 0	 3482.9666666666662	 
50000	5000	45000	 sysNum: 	14998	 MissingNum: 	0	 6915.912500002597	 143669	 2	 Protocol_Missing: 0	 3785.833333333333	 
50000	5000	45000	 sysNum: 	9998	 MissingNum: 	0	 6750.391666669131	 138570	 2	 Protocol_Missing: 0	 3634.3999999999996	 
50000	5000	45000	 sysNum: 	4998	 MissingNum: 	0	 7521.879166669402	 163677	 2	 Protocol_Missing: 0	 4391.566666666667	 
50000	5000	45000	 sysNum: 	45000	 MissingNum: 	0	 6600.679166669	 133629	 2	 Protocol_Missing: 0	 3482.9666666666662	 
50000	5000	45000	 sysNum: 	40000	 MissingNum: 	0	 6917.983333335931	 143740	 2	 Protocol_Missing: 0	 3785.833333333333	 
50000	5000	45000	 sysNum: 	34999	 MissingNum: 	0	 7511.379166669401	 163509	 2	 Protocol_Missing: 0	 4391.566666666667	 
50000	5000	45000	 sysNum: 	30000	 MissingNum: 	0	 7045.41250000273	 148493	 2	 Protocol_Missing: 0	 3937.2666666666664	 
50000	5000	45000	 sysNum: 	25000	 MissingNum: 	0	 7061.775000002726	 148478	 2	 Protocol_Missing: 0	 3937.2666666666664	 
50000	5000	45000	 sysNum: 	20000	 MissingNum: 	0	 6889.458333335929	 143530	 2	 Protocol_Missing: 0	 3785.833333333333	 
50000	5000	45000	 sysNum: 	14998	 MissingNum: 	0	 6932.304166669266	 143655	 2	 Protocol_Missing: 0	 3785.833333333333	 
50000	5000	45000	 sysNum: 	9998	 MissingNum: 	0	 6455.779166668871	 128661	 2	 Protocol_Missing: 0	 3331.533333333333	 
50000	5000	45000	 sysNum: 	4998	 MissingNum: 	0	 6607.300000002335	 133664	 2	 Protocol_Missing: 0	 3482.9666666666662	 
50000	5000	45000	 sysNum: 	45000	 MissingNum: 	0	 6903.954166669263	 143259	 2	 Protocol_Missing: 0	 3785.833333333333	 
50000	5000	45000	 sysNum: 	40000	 MissingNum: 	0	 6604.1791666690015	 133557	 2	 Protocol_Missing: 0	 3482.9666666666662	 
50000	5000	45000	 sysNum: 	34999	 MissingNum: 	0	 6457.79166666887	 128538	 2	 Protocol_Missing: 0	 3331.533333333333	 
50000	5000	45000	 sysNum: 	30000	 MissingNum: 	0	 8099.6416666694	 183294	 2	 Protocol_Missing: 0	 4997.3	 
