10000	1000	9000	 sysNum: 	5000	 MissingNum: 	0	 0.0	 0	 2	 Protocol_Missing: 0	 0.0	 
20000	2000	18000	 sysNum: 	10000	 MissingNum: 	0	 0.0	 0	 2	 Protocol_Missing: 0	 0.0	 
30000	3000	27000	 sysNum: 	15000	 MissingNum: 	0	 0.0	 0	 2	 Protocol_Missing: 0	 0.0	 
40000	4000	36000	 sysNum: 	20000	 MissingNum: 	0	 0.0	 0	 2	 Protocol_Missing: 0	 0.0	 
50000	5000	45000	 sysNum: 	25000	 MissingNum: 	0	 0.0	 0	 2	 Protocol_Missing: 0	 0.0	 
60000	6000	54000	 sysNum: 	30000	 MissingNum: 	0	 0.0	 0	 2	 Protocol_Missing: 0	 0.0	 
70000	7000	63000	 sysNum: 	35000	 MissingNum: 	0	 0.0	 0	 2	 Protocol_Missing: 0	 0.0	 
80000	8000	72000	 sysNum: 	40000	 MissingNum: 	0	 0.0	 0	 2	 Protocol_Missing: 0	 0.0	 
90000	9000	81000	 sysNum: 	45000	 MissingNum: 	0	 0.0	 0	 2	 Protocol_Missing: 0	 0.0	 
100000	10000	90000	 sysNum: 	50000	 MissingNum: 	0	 0.0	 0	 2	 Protocol_Missing: 0	 0.0	 
10000	1000	9000	 sysNum: 	5000	 MissingNum: 	0	 0.0	 0	 2	 Protocol_Missing: 0	 0.0	 
20000	2000	18000	 sysNum: 	10000	 MissingNum: 	0	 0.0	 0	 2	 Protocol_Missing: 0	 0.0	 
30000	3000	27000	 sysNum: 	15000	 MissingNum: 	0	 0.0	 0	 2	 Protocol_Missing: 0	 0.0	 
40000	4000	36000	 sysNum: 	20000	 MissingNum: 	0	 0.0	 0	 2	 Protocol_Missing: 0	 0.0	 
50000	5000	45000	 sysNum: 	25000	 MissingNum: 	0	 0.0	 0	 2	 Protocol_Missing: 0	 0.0	 
60000	6000	54000	 sysNum: 	30000	 MissingNum: 	0	 0.0	 0	 2	 Protocol_Missing: 0	 0.0	 
70000	7000	63000	 sysNum: 	35000	 MissingNum: 	0	 0.0	 0	 2	 Protocol_Missing: 0	 0.0	 
80000	8000	72000	 sysNum: 	40000	 MissingNum: 	0	 0.0	 0	 2	 Protocol_Missing: 0	 0.0	 
