10000	1000	9000	 sysNum: 	5000	 MissingNum: 	0	 1344.2124999999558	 14957	 2	 Protocol_Missing: 0	 506.71250000000043	 
20000	2000	18000	 sysNum: 	10000	 MissingNum: 	0	 2554.183333333243	 29549	 2	 Protocol_Missing: 0	 879.6083333333338	 
30000	3000	27000	 sysNum: 	15000	 MissingNum: 	0	 3795.1708333334695	 44450	 2	 Protocol_Missing: 0	 1283.9458333333318	 
40000	4000	36000	 sysNum: 	20000	 MissingNum: 	0	 5002.375000000515	 59304	 2	 Protocol_Missing: 0	 1653.2249999999979	 
50000	5000	45000	 sysNum: 	25000	 MissingNum: 	0	 6260.416666667574	 74941	 2	 Protocol_Missing: 0	 2073.3416666666644	 
60000	6000	54000	 sysNum: 	30000	 MissingNum: 	0	 7417.045833334422	 87869	 2	 Protocol_Missing: 0	 2392.045833333331	 
70000	7000	63000	 sysNum: 	35000	 MissingNum: 	0	 8713.729166667938	 104090	 2	 Protocol_Missing: 0	 2851.6541666666644	 
80000	8000	72000	 sysNum: 	40000	 MissingNum: 	0	 9876.745833334786	 118773	 2	 Protocol_Missing: 0	 3176.7458333333307	 
90000	9000	81000	 sysNum: 	45000	 MissingNum: 	0	 11073.233333334967	 133533	 2	 Protocol_Missing: 0	 3537.8583333333295	 
100000	10000	90000	 sysNum: 	50000	 MissingNum: 	0	 12309.633333335149	 148620	 2	 Protocol_Missing: 0	 3936.3333333333308	 
10000	1000	9000	 sysNum: 	5000	 MissingNum: 	0	 1351.8541666666217	 14835	 2	 Protocol_Missing: 0	 514.3541666666672	 
20000	2000	18000	 sysNum: 	10000	 MissingNum: 	0	 2560.7041666665764	 30143	 2	 Protocol_Missing: 0	 885.704166666667	 
30000	3000	27000	 sysNum: 	15000	 MissingNum: 	0	 3773.4916666667896	 44242	 2	 Protocol_Missing: 0	 1260.9916666666647	 
40000	4000	36000	 sysNum: 	20000	 MissingNum: 	0	 5026.033333333859	 58744	 2	 Protocol_Missing: 0	 1676.0333333333306	 
