10000	1000	9000	 sysNum: 	5000	 MissingNum: 	0	 1481.6374999999034	 26695	 2	 Protocol_Missing: 0	 799.6333333333334	 
20000	2000	18000	 sysNum: 	10000	 MissingNum: 	0	 2639.7291666665874	 49401	 2	 Protocol_Missing: 0	 1342.5999999999997	 
30000	3000	27000	 sysNum: 	15000	 MissingNum: 	0	 4225.17083333367	 85991	 2	 Protocol_Missing: 0	 2327.4999999999986	 
40000	4000	36000	 sysNum: 	20000	 MissingNum: 	0	 5185.454166667809	 102683	 2	 Protocol_Missing: 0	 2689.8666666666654	 
50000	5000	45000	 sysNum: 	25000	 MissingNum: 	0	 6756.7208333357985	 138403	 2	 Protocol_Missing: 0	 3634.3999999999996	 
60000	6000	54000	 sysNum: 	30000	 MissingNum: 	0	 7885.354166669946	 160291	 2	 Protocol_Missing: 0	 4153.799999999998	 
70000	7000	63000	 sysNum: 	35000	 MissingNum: 	0	 9356.170833335525	 193719	 2	 Protocol_Missing: 0	 5034.400000000001	 
80000	8000	72000	 sysNum: 	40000	 MissingNum: 	0	 9972.550000001744	 197852	 2	 Protocol_Missing: 0	 5017.6	 
90000	9000	81000	 sysNum: 	45000	 MissingNum: 	0	 11697.962499999778	 240009	 2	 Protocol_Missing: 0	 6166.300000000001	 
100000	10000	90000	 sysNum: 	50000	 MissingNum: 	0	 16568.795833329343	 387129	 2	 Protocol_Missing: 0	 10404.33333333334	 
10000	1000	9000	 sysNum: 	5000	 MissingNum: 	0	 1531.133333333229	 27816	 2	 Protocol_Missing: 0	 834.4000000000001	 
20000	2000	18000	 sysNum: 	10000	 MissingNum: 	0	 2612.662499999907	 47705	 2	 Protocol_Missing: 0	 1278.6666666666665	 
30000	3000	27000	 sysNum: 	15000	 MissingNum: 	0	 3952.9291666669374	 77041	 2	 Protocol_Missing: 0	 2048.199999999999	 
40000	4000	36000	 sysNum: 	20000	 MissingNum: 	0	 5688.608333334846	 118782	 2	 Protocol_Missing: 0	 3178.933333333331	 
